date,YYYYMMMDD,BBBB,DDDD,H,I,LAT,LONG,PRES,WND,OWD
03/26/2012,2012032600,30,1201,Pakhar,0,9.9,115.5,1010,10,0.0
03/26/2012,2012032606,30,1201,Pakhar,0,9.7,115.2,1008,10,0.0
03/26/2012,2012032612,30,1201,Pakhar,0,9.6,114.9,1008,10,0.0
03/26/2012,2012032618,30,1201,Pakhar,1,9.5,114.7,1008,13,0.0
03/27/2012,2012032700,30,1201,Pakhar,1,9.4,114.5,1008,13,0.0
03/27/2012,2012032706,30,1201,Pakhar,1,9.4,114.2,1006,15,0.0
03/27/2012,2012032712,30,1201,Pakhar,1,9.4,113.9,1006,15,0.0
03/27/2012,2012032718,30,1201,Pakhar,1,9.4,113.6,1006,15,0.0
03/28/2012,2012032800,30,1201,Pakhar,1,9.4,113.4,1006,15,0.0
03/28/2012,2012032806,30,1201,Pakhar,1,9.3,113.1,1006,15,0.0
03/28/2012,2012032812,30,1201,Pakhar,1,9.3,112.8,1006,15,0.0
03/28/2012,2012032818,30,1201,Pakhar,1,9.4,112.5,1006,15,0.0
03/29/2012,2012032900,30,1201,Pakhar,1,9.6,112.3,1004,15,0.0
03/29/2012,2012032906,30,1201,Pakhar,2,9.7,112.1,1004,18,0.0
03/29/2012,2012032912,30,1201,Pakhar,2,9.7,111.8,1002,18,0.0
03/29/2012,2012032918,30,1201,Pakhar,2,9.7,111.6,998,23,0.0
03/30/2012,2012033000,30,1201,Pakhar,3,9.7,111.3,990,25,0.0
03/30/2012,2012033006,30,1201,Pakhar,3,9.7,111.0,985,28,0.0
03/30/2012,2012033012,30,1201,Pakhar,3,9.7,110.7,985,28,0.0
03/30/2012,2012033018,30,1201,Pakhar,3,9.7,110.4,990,25,0.0
03/31/2012,2012033100,30,1201,Pakhar,3,9.7,110.0,990,25,0.0
03/31/2012,2012033106,30,1201,Pakhar,3,9.7,109.6,990,25,0.0
03/31/2012,2012033112,30,1201,Pakhar,2,9.8,109.2,990,23,0.0
03/31/2012,2012033118,30,1201,Pakhar,2,9.8,108.8,992,23,0.0
04/01/2012,2012040100,30,1201,Pakhar,2,9.9,108.4,992,20,0.0
04/01/2012,2012040106,30,1201,Pakhar,2,10.1,107.8,995,20,0.0
04/01/2012,2012040112,30,1201,Pakhar,2,10.6,107.4,1000,18,0.0
04/01/2012,2012040118,30,1201,Pakhar,2,11.0,107.0,1000,18,0.0
04/02/2012,2012040200,30,1201,Pakhar,1,11.5,106.6,1004,12,0.0
04/02/2012,2012040206,30,1201,Pakhar,0,12.2,106.3,1006,8,0.0
05/20/2012,2012052018,32,1202,Sanvu,0,10.7,148.0,1004,10,0.0
05/21/2012,2012052100,32,1202,Sanvu,1,11.0,147.3,1002,13,0.0
