date,YYYYMMMDD,BBBB,DDDD,F,H,I,LAT,LONG,PRES,WND,OWD
01/12/1990,1990011206,22,9001,0,Koryn,1,7,152.5,1000,15,NULL
01/12/1990,1990011212,22,9001,0,Koryn,1,8,151.5,1000,15,NULL
01/12/1990,1990011218,22,9001,0,Koryn,1,8.5,150.5,998,15,NULL
01/13/1990,1990011300,22,9001,0,Koryn,1,9,149.5,998,15,NULL
01/13/1990,1990011306,22,9001,0,Koryn,2,9.7,148.2,995,20,NULL
01/13/1990,1990011312,22,9001,0,Koryn,2,11.2,146.6,995,20,NULL
01/13/1990,1990011318,22,9001,0,Koryn,2,12.7,145.5,995,20,NULL
01/14/1990,1990011400,22,9001,0,Koryn,3,13.3,145.4,990,25,NULL
01/14/1990,1990011406,22,9001,0,Koryn,3,14,145.5,985,25,NULL
01/14/1990,1990011412,22,9001,0,Koryn,3,14.5,145.5,980,30,NULL
01/14/1990,1990011418,22,9001,0,Koryn,4,15,145.6,970,35,NULL
01/15/1990,1990011500,22,9001,0,Koryn,4,15.5,145.8,970,35,NULL
01/15/1990,1990011506,22,9001,0,Koryn,3,16.2,146.1,980,30,NULL
01/15/1990,1990011512,22,9001,0,Koryn,3,16.6,146.2,980,30,NULL
01/15/1990,1990011518,22,9001,0,Koryn,3,17.1,146.2,985,25,NULL
01/16/1990,1990011600,22,9001,0,Koryn,3,17.8,146.2,985,25,NULL
01/16/1990,1990011606,22,9001,0,Koryn,3,19.4,146.4,990,25,NULL
01/16/1990,1990011612,22,9001,0,Koryn,3,21.2,146.9,990,25,NULL
01/16/1990,1990011618,22,9001,0,Koryn,2,22.8,148.3,995,20,NULL
01/17/1990,1990011700,22,9001,0,Koryn,2,24,151,995,20,NULL
01/17/1990,1990011706,22,9001,0,Koryn,2,26,154.5,995,20,NULL
01/17/1990,1990011712,22,9001,0,Koryn,1,29.5,160,995,15,NULL
04/28/1990,1990042800,23,9002,0,Lewis,0,5,152,1005,10,NULL
04/28/1990,1990042806,23,9002,0,Lewis,1,6,152,1004,12,NULL
04/28/1990,1990042812,23,9002,0,Lewis,1,7,151.6,1004,12,NULL
04/28/1990,1990042818,23,9002,0,Lewis,1,8,151,1000,15,NULL
04/29/1990,1990042900,23,9002,0,Lewis,1,8.5,150.6,1000,15,NULL
04/29/1990,1990042906,23,9002,0,Lewis,2,9.3,150.5,995,20,NULL
04/29/1990,1990042912,23,9002,0,Lewis,2,10,150.5,995,20,NULL
04/29/1990,1990042918,23,9002,0,Lewis,2,10.5,150.5,995,20,NULL
04/30/1990,1990043000,23,9002,0,Lewis,2,10.9,150.6,995,20,NULL
04/30/1990,1990043006,23,9002,0,Lewis,2,11.2,150.7,995,20,NULL
04/30/1990,1990043012,23,9002,0,Lewis,2,11.4,151,995,20,NULL
04/30/1990,1990043018,23,9002,0,Lewis,2,11.5,151.5,995,20,NULL
05/01/1990,1990050100,23,9002,0,Lewis,2,11.7,151.9,995,20,NULL
05/01/1990,1990050106,23,9002,0,Lewis,1,12,152.3,998,15,NULL
05/01/1990,1990050112,23,9002,0,Lewis,1,12.5,152.5,998,15,NULL
05/01/1990,1990050118,23,9002,0,Lewis,1,12.8,152.5,998,15,NULL
05/02/1990,1990050200,23,9002,0,Lewis,1,13,152.4,998,15,NULL
05/02/1990,1990050206,23,9002,0,Lewis,1,13.3,152,1000,15,NULL
05/02/1990,1990050212,23,9002,0,Lewis,1,13.7,151.7,1000,15,NULL
05/02/1990,1990050218,23,9002,0,Lewis,1,14.1,151.4,1002,12,NULL
05/03/1990,1990050300,23,9002,0,Lewis,1,14.4,151,1002,12,NULL
05/03/1990,1990050306,23,9002,0,Lewis,1,14.7,150.4,1004,12,NULL
05/03/1990,1990050312,23,9002,0,Lewis,1,15.1,149.5,1004,12,NULL
05/14/1990,1990051418,26,9003,2,Marian,1,8,119,1002,12,NULL
05/15/1990,1990051500,26,9003,2,Marian,1,9,118,1002,12,NULL
05/15/1990,1990051506,26,9003,2,Marian,1,9.5,117.5,1000,15,NULL
05/15/1990,1990051512,26,9003,2,Marian,1,9.8,116.5,998,15,NULL
05/15/1990,1990051518,26,9003,2,Marian,2,10.6,115.2,995,20,NULL
05/16/1990,1990051600,26,9003,2,Marian,2,11.6,114.2,990,20,NULL
05/16/1990,1990051606,26,9003,2,Marian,3,12.1,113.4,985,25,NULL
05/16/1990,1990051612,26,9003,2,Marian,3,12.9,112.8,980,30,NULL
05/16/1990,1990051618,26,9003,2,Marian,4,13.9,112.4,975,35,NULL
05/17/1990,1990051700,26,9003,2,Marian,4,14.8,112.5,975,35,NULL
05/17/1990,1990051706,26,9003,2,Marian,4,16,112.5,975,35,NULL
05/17/1990,1990051712,26,9003,2,Marian,4,17.2,112.7,965,40,NULL
05/17/1990,1990051718,26,9003,2,Marian,4,18.1,113.2,965,40,NULL
05/18/1990,1990051800,26,9003,2,Marian,4,18.9,114.3,965,40,NULL
05/18/1990,1990051806,26,9003,2,Marian,4,20,115.3,970,35,NULL
05/18/1990,1990051812,26,9003,2,Marian,4,21,116.9,975,35,NULL
05/18/1990,1990051818,26,9003,2,Marian,3,21.8,118.7,980,30,NULL
05/19/1990,1990051900,26,9003,2,Marian,2,22.8,119.9,990,20,NULL
05/19/1990,1990051906,26,9003,2,Marian,1,24.5,122,995,15,NULL
05/19/1990,1990051912,26,9003,2,Marian,1,25.5,123.5,1000,15,NULL
05/19/1990,1990051918,26,9003,2,Marian,1,26.5,125,1000,15,NULL
05/20/1990,1990052000,26,9003,2,Marian,1,27.5,126.1,1000,15,NULL
05/20/1990,1990052006,26,9003,2,Marian,1,28.1,127.7,1000,15,NULL
05/20/1990,1990052012,26,9003,2,Marian,9,29,129,1002,12,NULL
05/20/1990,1990052018,26,9003,2,Marian,9,29.9,130.7,1004,12,NULL
05/21/1990,1990052100,26,9003,2,Marian,9,31,133,1005,12,NULL
06/12/1990,1990061218,26,9004,0,Nathan,0,8.4,131.9,1004,10,NULL
06/13/1990,1990061300,26,9004,0,Nathan,0,9.4,130.5,1004,10,NULL
06/13/1990,1990061306,26,9004,0,Nathan,1,10,129.5,1002,12,NULL
06/13/1990,1990061312,26,9004,0,Nathan,1,10.5,128.5,1002,12,NULL
06/13/1990,1990061318,26,9004,0,Nathan,1,11.7,127.5,1002,12,NULL
06/14/1990,1990061400,26,9004,0,Nathan,1,12.8,126.1,1000,15,NULL
06/14/1990,1990061406,26,9004,0,Nathan,1,13.3,124.3,1000,15,NULL
06/14/1990,1990061412,26,9004,0,Nathan,1,14.4,123.5,1000,15,NULL
06/14/1990,1990061418,26,9004,0,Nathan,1,15.5,121.7,1000,15,NULL
06/15/1990,1990061500,26,9004,0,Nathan,1,16.8,119.4,998,15,NULL
06/15/1990,1990061506,26,9004,0,Nathan,2,17.2,118,995,20,NULL
06/15/1990,1990061512,26,9004,0,Nathan,2,17.5,116.5,995,20,NULL
06/15/1990,1990061518,26,9004,0,Nathan,2,17.6,114.3,995,20,NULL
06/16/1990,1990061600,26,9004,0,Nathan,2,17.6,112.2,990,20,NULL
06/16/1990,1990061606,26,9004,0,Nathan,3,17.4,111.8,985,25,NULL
06/16/1990,1990061606,40,9005,0,Ofelia,1,8.5,139,1004,12,NULL
06/16/1990,1990061612,26,9004,0,Nathan,3,16.8,112.1,985,25,NULL
06/16/1990,1990061612,40,9005,0,Ofelia,1,8.8,138,1004,12,NULL
06/16/1990,1990061618,26,9004,0,Nathan,3,17.1,112.2,985,25,NULL
06/16/1990,1990061618,40,9005,0,Ofelia,1,9,137,1002,12,NULL
06/17/1990,1990061700,26,9004,0,Nathan,3,17.6,112,985,25,NULL
06/17/1990,1990061700,40,9005,0,Ofelia,1,9,136,1000,15,NULL
06/17/1990,1990061706,26,9004,0,Nathan,3,18.5,112,980,30,NULL
06/17/1990,1990061706,40,9005,0,Ofelia,1,9,135,1000,15,NULL
06/17/1990,1990061712,26,9004,0,Nathan,3,19.6,111.9,980,30,NULL
06/17/1990,1990061712,40,9005,0,Ofelia,1,9,134,1000,15,NULL
06/17/1990,1990061718,26,9004,0,Nathan,3,20.1,110.9,980,30,NULL
06/17/1990,1990061718,40,9005,0,Ofelia,1,9.1,133.3,1000,15,NULL
06/18/1990,1990061800,26,9004,0,Nathan,3,20.6,110.5,985,25,NULL
06/18/1990,1990061800,40,9005,0,Ofelia,1,9.3,132.5,998,15,NULL
06/18/1990,1990061806,26,9004,0,Nathan,3,21.6,109.6,985,25,NULL
06/18/1990,1990061806,40,9005,0,Ofelia,2,9.4,131.5,990,20,NULL
06/18/1990,1990061812,26,9004,0,Nathan,2,21.8,108.6,990,20,NULL
06/18/1990,1990061812,40,9005,0,Ofelia,2,9.5,130.3,990,20,NULL
06/18/1990,1990061818,40,9005,0,Ofelia,2,9.7,129.3,990,20,NULL
06/18/1990,1990061818,26,9004,0,Nathan,1,22.3,107.3,995,15,NULL
06/19/1990,1990061900,40,9005,0,Ofelia,2,9.8,129,990,20,NULL
06/19/1990,1990061900,26,9004,0,Nathan,1,22.2,106,998,12,NULL
06/19/1990,1990061906,40,9005,0,Ofelia,2,9.9,128.7,990,20,NULL
06/19/1990,1990061912,40,9005,0,Ofelia,2,10,128.5,990,20,NULL
06/19/1990,1990061918,40,9005,0,Ofelia,3,10.2,128.4,985,25,NULL
06/20/1990,1990062000,40,9005,0,Ofelia,3,10.8,128.2,985,25,NULL
06/20/1990,1990062006,40,9005,0,Ofelia,3,11.3,128,980,30,NULL
06/20/1990,1990062012,40,9005,0,Ofelia,3,12,127.7,980,30,NULL
06/20/1990,1990062018,40,9005,0,Ofelia,3,13.5,126.7,980,30,NULL
06/20/1990,1990062018,39,9006,0,Percy,1,11,146.5,1004,12,NULL
06/21/1990,1990062100,40,9005,0,Ofelia,3,14.8,126,975,30,NULL
06/21/1990,1990062100,39,9006,0,Percy,1,10.9,146,1002,15,NULL
06/21/1990,1990062106,40,9005,0,Ofelia,3,16.4,124.8,975,30,NULL
06/21/1990,1990062106,39,9006,0,Percy,2,10.5,145.5,998,20,NULL
